address,county,bed,bath,prop_type,area,price,price_n
"17 Eglinton Square, Donnybrook, Dublin 4", Dublin 4,4 Bed,3 Bath,Terrace,145 m²,"€825,000",825000.0
"Glenree, Bonniconlon, Ballina, Co. Mayo", Co. Mayo,5 Bed,4 Bath,Detached,179 m²,"€275,000",275000.0
"2 Lucan Lodge, Leixlip Road, Lucan, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Detached,180 m²,"€590,000",590000.0
"29 Fergus Park, Ennis, Co. Clare", Co. Clare,3 Bed,2 Bath,Terrace,78 m²,"€175,000",175000.0
"Rinclevan, Dunfanaghy, Co. Donegal", Co. Donegal,3 Bed,1 Bath,Detached,65 m²,"AMV: €265,000",265000.0
"HAZEL'S BEAUTY BOUTIQUE, College Avenue, Mountmellick, Co. Laois", Co. Laois,2 Bed,1 Bath,Apartment,61 m²,"€150,000",150000.0
"30 Cedarmount Road, Mount Merrion, Co. Dublin", Co. Dublin,5 Bed,3 Bath,Semi-D,,"€825,000",825000.0
"19 Oakfield Green, Glanmire, Co. Cork", Co. Cork,4 Bed,2 Bath,Semi-D,105 m²,"€295,000",295000.0
"Ballinascorney, Brittas, Co. Dublin", Co. Dublin,7 Bed,11 Bath,Detached,1000 m²,Price on Application,0.0
"Cogaula, Westport, Co. Mayo", Co. Mayo,4 Bed,3 Bath,Detached,206 m²,"€395,000",395000.0
"105 Comerfords Cross, Woodford Lane, Portmarnock, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Townhouse,117 m²,"€498,000",498000.0
"12 Carrickhill Road Lower, Portmarnock, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Semi-D,122 m²,"€550,000",550000.0
"2 Gleann Dara, Manorhamilton, Co. Leitrim", Co. Leitrim,3 Bed,3 Bath,Semi-D,108 m²,"€150,000",150000.0
"19 Wood Green, Forest Park, Dromahair, Co. Leitrim", Co. Leitrim,4 Bed,3 Bath,Detached,131 m²,"€219,000",219000.0
"7 Wood Green, Forest Park, Dromahair, Co. Leitrim", Co. Leitrim,4 Bed,3 Bath,Detached,,"€219,000",219000.0
"1 Gleann Dara, Manorhamilton, Co. Leitrim", Co. Leitrim,3 Bed,3 Bath,Semi-D,108 m²,"€150,000",150000.0
"34 Drumcondra Road Upper, Drumcondra, Dublin 9", Dublin 9,4 Bed,1 Bath,Semi-D,137 m²,"€675,000",675000.0
